symptoms_description,disease
"Since yesterday, I have noticed sweating, muscle pain, and chills.",Malaria
"Lately, muscle pain has started along with nausea and fever.",Malaria
My fever and nausea are bothering me a lot.,Malaria
"I feel sweating, nausea, and sometimes even fever.",Malaria
"Lately, nausea has started along with sweating and fever.",Malaria
I have skin rash and also headache.,Dengue
My joint pain and nausea are bothering me a lot.,Dengue
I have been experiencing fever and nausea recently.,Dengue
"Lately, headache has started along with fever and skin rash.",Dengue
My muscle pain and chills are bothering me a lot.,Malaria
"Lately, fever has started along with nausea and sweating.",Malaria
"Since yesterday, I have noticed fever, nausea, and muscle pain.",Malaria
"I feel muscle pain, chills, and sometimes even fever.",Malaria
"I feel fever, sweating, and sometimes even nausea.",Malaria
"Lately, chills has started along with nausea and fever.",Malaria
I have been experiencing chills and fever recently.,Malaria
I have chest tightness and also coughing.,Asthma
"I feel chest tightness, wheezing, and sometimes even coughing.",Asthma
I have coughing and also chest tightness.,Asthma
There is coughing and it feels like wheezing.,Asthma
"I feel coughing, wheezing, and sometimes even chest tightness.",Asthma
There is wheezing and it feels like chest tightness.,Asthma
I have chest tightness and also shortness of breath.,Asthma
"Since yesterday, I have noticed wheezing, coughing, and chest tightness.",Asthma
My wheezing and coughing are bothering me a lot.,Asthma
My coughing and shortness of breath are bothering me a lot.,Asthma
I have been experiencing shortness of breath and coughing recently.,Asthma
There is coughing and it feels like shortness of breath.,Asthma
I have wheezing and also shortness of breath.,Asthma
I have wheezing and also shortness of breath.,Asthma
My shortness of breath and wheezing are bothering me a lot.,Asthma
"I feel shortness of breath, coughing, and sometimes even chest tightness.",Asthma
"Lately, shortness of breath has started along with coughing and chest tightness.",Asthma
I have been experiencing chest tightness and wheezing recently.,Asthma
My shortness of breath and coughing are bothering me a lot.,Asthma
"Lately, shortness of breath has started along with wheezing and chest tightness.",Asthma
My wheezing and shortness of breath are bothering me a lot.,Asthma
"Lately, coughing has started along with wheezing and chest tightness.",Asthma
I have been experiencing wheezing and shortness of breath recently.,Asthma
My wheezing and coughing are bothering me a lot.,Asthma
"Since yesterday, I have noticed cough, sneezing, and sore throat.",Common Cold
I have cough and also fever.,Common Cold
"Since yesterday, I have noticed sneezing, runny nose, and cough.",Common Cold
"Lately, sneezing has started along with fever and sore throat.",Common Cold
"Lately, sore throat has started along with cough and fever.",Common Cold
"I feel frequent urination, weight loss, and sometimes even fatigue.",Diabetes
"Lately, increased thirst has started along with fatigue and frequent urination.",Diabetes
I have been experiencing cough and sneezing recently.,Common Cold
My cough and fever are bothering me a lot.,Common Cold
I have sensitivity to light and also throbbing pain.,Migraine
"Lately, throbbing pain has started along with sensitivity to light and nausea.",Migraine
"I feel headache, sensitivity to light, and sometimes even nausea.",Migraine
My headache and sensitivity to light are bothering me a lot.,Migraine
There is nausea and it feels like sensitivity to light.,Migraine
"Lately, headache has started along with sensitivity to light and throbbing pain.",Migraine
"Since yesterday, I have noticed nausea, headache, and throbbing pain.",Migraine
"Since yesterday, I have noticed headache, nausea, and throbbing pain.",Migraine
I have been experiencing headache and sensitivity to light recently.,Migraine
I have been experiencing sensitivity to light and nausea recently.,Migraine
I have been experiencing nausea and headache recently.,Migraine
My headache and nausea are bothering me a lot.,Migraine
I have been experiencing throbbing pain and nausea recently.,Migraine
"I feel sensitivity to light, nausea, and sometimes even headache.",Migraine
"Since yesterday, I have noticed fever, itchy rash, and red spots.",Chicken Pox
"Lately, fever has started along with red spots and fatigue.",Chicken Pox
My loss of appetite and itchy rash are bothering me a lot.,Chicken Pox
My fatigue and itchy rash are bothering me a lot.,Chicken Pox
"Since yesterday, I have noticed fatigue, fever, and loss of appetite.",Chicken Pox
My itchy rash and fatigue are bothering me a lot.,Chicken Pox
My wheezing and coughing are bothering me a lot.,Asthma
"I feel shortness of breath, chest tightness, and sometimes even coughing.",Asthma
There is coughing and it feels like shortness of breath.,Asthma
There is shortness of breath and it feels like wheezing.,Asthma
I have chest tightness and also wheezing.,Asthma
"Lately, coughing has started along with shortness of breath and chest tightness.",Asthma
"Lately, chest tightness has started along with wheezing and shortness of breath.",Asthma
I have headache and also joint pain.,Dengue
I have been experiencing headache and joint pain recently.,Dengue
"Since yesterday, I have noticed fever, skin rash, and nausea.",Dengue
"Lately, nausea has started along with skin rash and headache.",Dengue
"Since yesterday, I have noticed joint pain, fever, and headache.",Dengue
My nausea and skin rash are bothering me a lot.,Dengue
My joint pain and fever are bothering me a lot.,Dengue
"Since yesterday, I have noticed headache, joint pain, and fever.",Dengue
There is fever and it feels like skin rash.,Dengue
My skin rash and nausea are bothering me a lot.,Dengue
